zona,hayMovimiento,fecha
Casa/Salon,1,2024-01-22 20:43:05
Casa/Salon,1,2024-01-22 20:43:10
Casa/Salon,1,2024-01-22 20:43:20
Casa/Salon,1,2024-01-22 20:43:25
Casa/Salon,1,2024-01-22 20:43:30
Casa/Salon,1,2024-01-22 20:43:35
Casa/Salon,1,2024-01-22 20:43:45
Casa/Salon,1,2024-01-22 20:43:50
Casa/Salon,1,2024-01-22 20:44:00
Casa/Salon,1,2024-01-22 20:44:20
Casa/Salon,1,2024-01-22 20:44:25
Casa/Salon,1,2024-01-22 20:44:30
Casa/Salon,1,2024-01-22 20:44:40
Casa/Salon,1,2024-01-22 20:44:45
Casa/Salon,1,2024-01-22 20:45:15
Casa/Salon,1,2024-01-22 20:45:20
Casa/Salon,1,2024-01-22 20:45:25
Casa/Salon,1,2024-01-22 20:45:40
Casa/Salon,1,2024-01-22 20:45:45
Casa/Salon,1,2024-01-22 20:45:55
Casa/Salon,1,2024-01-22 20:46:05
Casa/Salon,1,2024-01-22 20:46:10
Casa/Salon,1,2024-01-22 20:46:35
Casa/Salon,1,2024-01-22 20:46:40
Casa/Salon,1,2024-01-22 20:46:55
Casa/Salon,1,2024-01-22 20:47:15
Casa/Salon,1,2024-01-22 20:47:20
Casa/Salon,1,2024-01-22 20:47:25
Casa/Salon,1,2024-01-22 20:47:30
Casa/Salon,1,2024-01-22 20:47:35
Casa/Salon,1,2024-01-22 20:47:40
Casa/Salon,1,2024-01-22 20:47:50
Casa/Salon,1,2024-01-22 20:47:55
Casa/Salon,1,2024-01-22 20:48:00
Casa/Salon,1,2024-01-22 20:48:05
Casa/Salon,1,2024-01-22 20:48:10
Casa/Salon,1,2024-01-22 20:48:20
Casa/Salon,1,2024-01-22 20:48:30
Casa/Salon,1,2024-01-22 20:48:40
Casa/Salon,1,2024-01-22 20:48:50
Casa/Salon,1,2024-01-22 20:48:55
Casa/Salon,1,2024-01-22 20:49:00
Casa/Salon,1,2024-01-22 20:49:05
Casa/Salon,1,2024-01-22 20:49:10
Casa/Salon,1,2024-01-22 20:49:15
Casa/Salon,1,2024-01-22 20:49:20
Casa/Salon,1,2024-01-22 20:49:25
Casa/Salon,1,2024-01-22 20:49:30
Casa/Salon,1,2024-01-22 20:49:35
Casa/Salon,1,2024-01-22 20:49:40
Casa/Salon,1,2024-01-22 20:49:45
Casa/Salon,1,2024-01-22 20:49:50
Casa/Salon,1,2024-01-22 20:50:00
Casa/Salon,1,2024-01-22 20:50:05
Casa/Salon,1,2024-01-22 20:50:15
Casa/Salon,1,2024-01-22 20:50:25
Casa/Salon,1,2024-01-22 20:50:35
Casa/Salon,1,2024-01-22 20:50:45
Casa/Salon,1,2024-01-22 20:50:50
Casa/Salon,1,2024-01-22 20:50:55
Casa/Salon,1,2024-01-22 20:51:00
Casa/Salon,1,2024-01-22 20:51:05
Casa/Salon,1,2024-01-22 20:51:10
Casa/Salon,1,2024-01-22 20:51:15
Casa/Salon,1,2024-01-22 20:51:20
Casa/Salon,1,2024-01-22 20:51:25
Casa/Salon,1,2024-01-22 20:51:35
Casa/Salon,1,2024-01-22 20:51:40
Casa/Salon,1,2024-01-22 20:51:45
Casa/Salon,1,2024-01-22 20:51:55
Casa/Salon,1,2024-01-22 20:52:05
Casa/Salon,1,2024-01-22 20:52:10
Casa/Salon,1,2024-01-22 20:52:20
Casa/Salon,1,2024-01-22 20:52:25
Casa/Salon,1,2024-01-22 20:52:30
Casa/Salon,1,2024-01-22 20:52:35
Casa/Salon,1,2024-01-22 20:52:40
Casa/Salon,1,2024-01-22 20:52:50
Casa/Salon,1,2024-01-22 20:52:55
Casa/Salon,1,2024-01-22 20:53:00
Casa/Salon,1,2024-01-22 20:53:05
Casa/Salon,1,2024-01-22 20:53:10
Casa/Salon,1,2024-01-22 20:53:20
Casa/Salon,1,2024-01-22 20:53:35
Casa/Salon,1,2024-01-22 20:53:50
Casa/Salon,1,2024-01-22 20:54:00
Casa/Salon,1,2024-01-22 20:54:10
Casa/Salon,1,2024-01-22 20:54:15
Casa/Salon,1,2024-01-22 20:54:20
Casa/Salon,1,2024-01-22 20:54:25
